date.sampled,start.time,end.time,date.measured,gear ,trap.number,vessel,sampler,latitude,longitude,depth.meters,protection,crab.number,sex,shell.condition,carapace.width,chela.height,durometer,hemolymph,frozen.leg,photo.number,missing.legs,colorimeter.chela.L,colorimeter.chela.a,colorimeter.chela.b,colorimeter.merus.L,colorimeter.merus.a,colorimeter.merus.b,comment
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,1,male,3M,104.38,22.25,80,2.5,y,427; 428,xxxxxxxxxx,52.92,1.95,14.84,45.83,2.16,7.63,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,2,male,3M,116.84,25.78,68,4.9,y,430; 431,xxxx1xxxxx,57.67,-1.6,12.88,52.62,-2.24,5.48,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,3,male,3,122.15,29.36,69,2.2,y,432; 433,xx1xxxxxx1,59.12,-2.24,5.28,47.99,-1.63,0.43,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,4,male,3,100.6,23.59,74,6.2,y,434; 435,xxxxxxxxxx,55.05,0,10.26,45.59,0.91,5.3,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,5,male,3M,120.45,35.03,80,3.8,y,436; 437,xxxxxxxxxx,57.31,-0.21,15.13,56.73,-0.67,7.79,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,6,male,4,98.65,20.24,62,7.2,y,438; 439; 440; 442,xxxx1xxx1x,46.71,1.6,16.33,45.89,-1.58,6.22,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,7,male,3,112.4,31.03,80,2.2,y,443; 444,xxxx1xxxxx,60.32,-1.66,7.92,48.44,-2.63,1.24,crab from ghost gear ; placed in chiller; only 1 NIR scan
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,8,male,3M,89.19,20.74,72,7.8,y,445; 446,xxxxxxxxxx,48.82,1.33,15.91,46.7,1.3,7.96,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,9,male,3,115.28,28.06,66,2.6,y,449 to 452,x1xx1xx1xx,61.39,-1.62,5.54,47.63,-1.19,-0.17,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,10,male,3M,103.7,20.88,66,3.4,y,453; 454,xxxxxxxxxx,50.99,2.16,14.74,44.7,3.32,10.33,crab from ghost gear ; placed in chiller
